Фамилия;Имя;Отчество;День рождения;Должность?;Состоит в комитетах;Дата подтверждения полномочий;Срок окончания полномочий;Адрес email;Телефоны;Адрес приемной в субъекте Российской Федерации;Телефоны приемной в субъекте Российской Федерации;ID региона
Умаханов;Ильяс;Магомед-Саламович;27.03.1957;Представитель от исполнительного органа государственной власти Республики Дагестан;Первый заместитель председателя Комитета Совета Федерации по международным делам;29.11.2001;февраль 2015;IMUmahanov@council.gov.ru;697-48-69, 697-77-12,986-69-30;367005, Махачкала, пл.Ленина, Дом Правительства;(8-8722) 67-30-59;279889
Федоров;Валерий;Иванович;01.08.1943;Представитель от исполнительного органа государственной власти Вологодской области;Первый заместитель председателя Комитета Совета Федерации по конституционному законодательству, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;03.10.2001;июнь 2012;VIFedorov@council.gov.ru;692-69-36,986-68-73;;;279987
Федоров;Владимир;Александрович;10.09.1946;Представитель от законодательного (представительного) органа государственной власти Республика Карелия;Заместитель председателя Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;04.01.2003;октябрь 2011;VAFedorov@council.gov.ru;692-57-18,986-60-87;185610, г. Петрозаводск, ул. Куйбышева, д.5;(8-814-2) 78-44-38;279904
Федоряк;Николай;Александрович;11.09.1949;Представитель от исполнительного органа государственной власти Ханты-Мансийского автономного округа - Югры;Член Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по национальной морской политике, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;26.05.2010;март 2015;;697-90-70,6-78-63;;;280115
Фетисов;Вячеслав;Александрович;20.04.1958;Представитель от законодательного (представительного) органа государственной власти Приморского края;Председатель Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения, Член Комитета Совета Федерации по вопросам местного самоуправления, Член Комиссии Совета Федерации по делам молодежи и туризму;27.10.2008;октябрь 2011;VAFetisov@council.gov.ru;986-69-59;;;279951
Фролов;Николай;Алексеевич;01.08.1948;Представитель от исполнительного органа государственной власти Смоленской области;Заместитель председателя Комитета Совета Федерации по вопросам местного самоуправления, Заместитель председателя Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;22.04.2009;декабрь 2012;NAFrolov@council.gov.ru;623-57-90,986-60-48;;;280097
Хазин;Андрей;Леонидович;01.02.1969;Представитель от законодательного (представительного) органа государственной власти Кировской области;Заместитель председателя Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;23.06.2006;март 2011;ALKhazin@mail.ru;,;610019, г. Киров, ул. Карла Либкнехта, д. 69;(8-833-2) 62-48-00;280016
Хашир;Аслан;Азметович;06.09.1965;Представитель от законодательного (представительного) органа государственной власти Республики Адыгея;Заместитель председателя Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по делам молодежи и туризму, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;02.02.2007;март 2011;AAHashir@council.gov.ru;629-31-62,986-64-83;;;280170
Чаплин;Юрий;Константинович;02.02.1955;Представитель от исполнительного органа государственной власти Астраханской области;Член Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;25.02.2005;декабрь 2014;JLChaplin@council.gov.ru;692-57-21,986-66-12;414000, г. Астрахань, укл. Советская, д. 14. комн. 41;(8-851-2) 22-87-40;279972
Чекалин;Александр;Алексеевич;06.09.1947;Представитель от исполнительного органа государственной власти Удмуртской Республики;Член Комитета Совета Федерации по обороне и безопасности;12.05.2008;февраль 2014;AAChekalin@council.gov.ru;692-75-38ф,986-66-74;;;279925
Чеченов;Хусейн;Джабраилович;22.02.1942;Представитель от исполнительного органа государственной власти Кабардино-Балкарской Республики;Председатель Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по информационной политике;03.02.2004;сентябрь 2010;HDChechenov@council.gov.ru;692-59-03ф,986-69-14;360028, г. Нальчик, просп.  Ленина, д.27, Дом Правительства Кабардино-Балкарской Республики, ком. 325;(8-8662)  47-70-34;279895
Чуркин;Николай;Павлович;01.02.1949;Представитель от исполнительного органа государственной власти  Московской области;Первый заместитель председателя Комитета Совета Федерации по природным ресурсам и охране окружающей среды, Член Комиссии Совета Федерации по национальной морской политике;01.01.2002;май 2012;NPChurkin@council.gov.ru;692-63-83,986-66-28;103070, г. Москва, Старая пл., д.6, ком. 429;(495) 606-66-13, факс 606-03-78;280044
Шаклеин;Николай;Иванович;20.12.1943;Представитель от исполнительного органа государственной власти Кировской области;Заместитель председателя Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по культуре;01.04.2009;январь 2014;NIShaklein@council.gov.ru;692-69-12,986-64-27;;;280016
Шамков;Юрий;Вениаминович;25.06.1966;Представитель от исполнительного органа государственной власти Алтайского края;Заместитель председателя Комиссии Совета Федерации по делам молодежи и туризму, Член Комитета Совета Федерации по промышленной политике, Член Комиссии Совета Федерации по естественным монополиям;20.02.2008;август 2014;YVShamkov@council.gov.ru;692-43-36,986-69-31;656035, г. Барнаул, пр. Ленина, д. 41;(8-385-2) 36-30-46, факс 36-35-20;279938
Шатиров;Сергей;Владимирович;24.02.1949;Представитель от исполнительного органа государственной власти Кемеровской области;Первый заместитель председателя Комитета Совета Федерации по промышленной политике;27.06.2001;апрель 2015;SVShatirov@council.gov.ru;692-13-46,986-62-43;650099, г. Кемерово, Советский просп., д.62;(8-384-2)  факс 58-60-59;280013
Шверикас;Вячеслав;Николаевич;03.02.1961;Представитель от исполнительного органа государственной власти Республики Адыгея;Член Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по информационной политике;28.01.2004;январь 2012;VNShverikas@council.gov.ru;692-12-61,986-64-18;352700, г.  Майкоп, ул. Жуковского, д. 22;(8-8772) 52-38-07;280170
Шиянов;Рустем;Викторович;14.04.1971;Представитель от исполнительного органа  государственной власти Ульяновской области;Заместитель председателя Комитета Совета Федерации по промышленной политике, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;22.06.2005;апрель 2011;RVShiyanov@council.gov.ru;692-72-53,;432001, г. Ульяновск, пл. Ленина, д.1, ком. 216;(8-842-2) 41-22-42, 41-20-50;280122
Шпигель;Борис;Исаакович;18.02.1953;Представитель от исполнительного органа государственной власти Пензенской области;Председатель Комиссии Совета Федерации по вопросам развития институтов гражданского общества, Член Комитета Совета Федерации по делам Содружества Независимых Государств;03.04.2003;май 2015;BIShpigel@council.gov.ru;623-88-86, 692-92-86,986-61-27;440025, г. Пенза, ул. Московская, д.75, комн. 337;(8-841-2) 56-11-94, факс 55-04-11;280067
Штыров;Вячеслав;Анатольевич;23.05.1953;Представитель от исполнительного органа государственной власти Республики Саха (Якутия);Член Комитета Совета Федерации по вопросам местного самоуправления;23.06.2010;июнь 2015;;697-93-21,986-62-25;;;279935
Щеблыгин;Сергей;Евгеньевич;17.08.1956;Представитель от законодательного (представительного) органа государственной власти Орловской области;Заместитель председателя Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по культуре;28.12.2001;май 2012;SESheblygin@council.gov.ru;692-66-14,986-60-94;302000, г. Орел, пл. Ленина, д.1;(8-486-2) 43-12-79;280064
Щербаков;Владимир;Филиппович;01.01.1955;Представитель от законодательного (представительного) органа  государственной власти Удмуртской Республики;Заместитель председателя Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;13.05.2009;декабрь 2012;VFScherbakov@council.gov.ru;692-61-02,986-65-48;;;279925
Яблоков;Юрий;Сергеевич;27.04.1969;Представитель от исполнительного органа государственной власти Ивановской области;Член Комитета Совета Федерации по промышленной политике, Член Комиссии Совета Федерации по естественным монополиям;23.06.2010;декабрь 2010;;697-61-65,6-74-23;;;279992
Якубовский;Владимир;Викторович;04.03.1952;Представитель от исполнительного органа государственной власти Иркутской области;Заместитель председателя Комиссии Совета Федерации по делам молодежи и туризму, Член Комитета Совета Федерации по вопросам местного самоуправления;18.11.2009;июнь 2014;VVYakubovskiy@council.gov.ru;697-52-47,;;;1649530
