Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"ГУЗ ""Беловская СПК""";Кемеровская область;Беловский район;Белово;г. Белово, ул. Юности, 18;54.376739;86.349159;(38452) 2-01-60;пн-пт 8.00-12.30
"МУЗ ""ЦГБ г. Березовский""";Кемеровская область;Березовский район;Березовский;г. Березовский, ул. Строителей, 2;55.615551;86.267242;(38445) 3-35-40, 3-33-15;пн, чт 8.00 - 12.00
"МУЗ ""ГБ №29""";Кемеровская область;Новокузнецкий район;Новокузнецк;г. Новокузнецк, пр. Советской Армии, 49;53.740750;87.113487;(3843) 53-61-02, 53-61-45;пн-пт 8.30 - 12.00
"ГУЗ ""Ленинск-Кузнецкая станция переливания крови""";Кемеровская область;Ленинск-Кузнецкий район;Ленинск-Кузнецкий;г. Л-Кузнецкий, ул. Земцова, 9;54.668171;86.179131;(38456) 7-27-37;пн-пт 8.00 - 13.00
"ГУЗ ""Новокузнецкая станция переливания крови""";Кемеровская область;Новокузнецкий район;Новокузнецк;г. Новокузнецк, ул. Кутузова, 19;53.740666;87.113600;(3843) 79-68-48;пн-пт 8.00 - 14.00
"ГУЗ ""Тверская областная станция переливания крови""";Тверская область;Калининский;Тверь;г. Тверь, ул. Тамары Ильиной, д. 20;56.838907;35.926259;(4822) 58-72-32;пн-пт 9.00-14.00
"ГУЗ ""Осинниковская СПК""";Кемеровская область;Осиннский район;Осинники;г. Осинники, 2 пер. Кирова, 6;53.606819;87.337723;(38471) 5-41-08, 5-34-92;пн-пт 9.00 - 12.00
ФГЛПУ ГНКЦОЗШ;Кемеровская область;Ленинск-Кузнецкий район;Ленинск-Кузнецкий;г. Ленинск-Кузнецкий, 7-й мкрн, 9;54.667832;86.179810;(38456) 9-55-15, 9-55-20, 9-55-28;пн-пт 8.00 - 14.00
"МУЗ ""ЦРБ Промышленновского р-на""";Кемеровская область;Промышленный район;пос. Промышленная;пгт. Промышленная, ул. Н. Островского, 78;54.913639;85.642403;(38442) 7-19-14, 7-11-84;ср 8.00 - 12.00
"МУЗ ""ЦГБ г. Таштагол""";Кемеровская область;Таштагольский район;Таштаголь;г. Таштагол, ул. Ленина, 9;52.766049;87.876198;(38473) 2-13-42, 3-30-34;пн-пт 8.00 - 12.00
"МУЗ ""ЦРБ Тисульского р-на""";Кемеровская область;Тисульский район;пос. Тисуль;п. Тисуль, ул. Октябрьская, 18;55.762001;88.315231;(38447) 2-38-30, 5-63-86;пн-пт 9.00 - 14.00
"ГУЗ ""Областная станция переливания крови""";Кемеровская область;Кемерово;Кемерово;г. Кемерово, пр. Октябрьский, 22;55.370344;86.056316;(3842) 72-13-74, 72-16-22;пн-пт 8.00 - 15.15
Калининградская ОКБ;Калининградская область;Калининградский район;Калининград;г. Калининград, ул. Клиническая, 74;54.719038;20.522434;(4012) 57-85-35;пн-пт 9.00 - 12.30
ЦГБ;Калининградская область;Калининградский район;Калининград;г. Калининград, ул. Летняя, 3;54.678148;20.488557;(4012) 64-80-12;пн-пт 8.30 - 11.00
"ГУЗ ""Калининградская областная станция переливания крови""";Калининградская область;Калининградский район;Калининград;г. Калининград, ул. Чкалова, 29;54.725897;20.459516;(4012) 93-53-75;пн-пт 7.30 - 13.30
"ГУЗ ""Калужская областная станция переливания крови""";Калужская область;Калужский район;Калуга;г. Калуга, ул. М. Горького, 71;54.514679;36.271420;(4842) 73-26-48, 54-09-48;пн-пт 8.00 - 12.00
"ОПК МУЗ ""ЦРБ Сухиничского р-на""";Калужская область;Сухиничинский район;Сухиничи;г. Сухиничи, ул. Ленина, 94;54.101170;35.352329;(48451) 5-16-36;2р. в нед. 8.00 - 12.00
"ОПК МУЗ ""ЦРБ Боровского р-на""";Калужская область;Боровский район;Боровск;г. Боровск, ул. 1 мая, 51;55.202061;36.479431;(48438) 4-10-03, 4-41-44;2р. в нед. 8.00 - 12.00
"ОПК МУЗ ""ЦРБ Малоярославецкого р-на""";Калужская область;Малоярославецкий район;Малоярославец;г. Малоярославец, ул. Чистовица, 38;55.009190;36.476108;(48431) 2-12-88, 2-22-00;2р. в нед. 8.00 - 12.00
"ГЛПУ ""Кировская областная станция переливания крови""";Кировская область;Киров городской округ;Киров;г. Киров, ул. Красноармейская, 74;58.591072;49.660091;(8332) 54-26-06, 57-91-46;пн-пт 8.00 - 16.00
Кирово-Чепецкое ОПК;Кировская область;Кирово-Чепецкий;Кирово-Чепецк;г. Кирово-Чепецк, ул. Созонтова, 3;58.549770;50.039799;"телефона нет, за дополнительной информацией обращаться по телефону  ГЛПУ ""Кировская ОСПК""";пн-пт 8.00 - 16.00, забор крови по предварительной записи
"МУЗ ""Шарьинская ЦРБ им. Каверина В.Ф.""";Костромская область;Шарьский;Шарья;г. Шарья, ул. Им. Хирурга Крылова, 1;58.366150;45.512409;(49449) 5-41-82;пн, чт 8.00 - 11.00
"ГУЗ ""Костромской центр крови-областная станция переливания крови""";Костромская область;Костромской;Кострома;г. Кострома, пр. Мира, 106;57.779409;40.953506;(4942) 55-46-91;пн-пт 8.00 - 12.00
"МУЗ ""Мантуровская ГБ""";Костромская область;Мантуровский;Мантурово;г. Мантурово, ул. Больничная, 2;58.340382;44.755852;(49446) 3-44-10;вт, чт 8.00 - 13.00
"Краевое ГУЗ ""Красноярский краевой центр крови №1""";Красноярский край;Красноярский;Красноярск;г. Красноярск, ул. Партизана Железняка, 3м;56.026330;92.908931;(391) 220-06-02;пн-сб 8.00-20.00
"Краевое ГУЗ ""Красноярский краевой центр крови №2""";Красноярский край;Норильский;Норильск;г. Норильск, ул. Московская, 13;69.330406;88.220482;(3919) 34-93-91;вт-сб 8.00 - 12.00
"ОГУЗ ""Курская областная клиническая станция переливания крови""";Курская область;Курск;Курск;г. Курск, ул. Кольцова, 11;51.716853;36.168784;(4712) 54-93-15, 54-93-17;пн-пт 8.00 - 15.00
"МУЗ ""Льговская ЦБ""";Курская область;Льговский;Льгов;г. Льгов, ул. Комсомольская, 2;51.631680;35.262260;(47140) 2-30-61;пн-пт 8.00 - 12.00
"ГУЗ ""Городская станция переливания крови""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;Московский пр-т, 104;59.895506;30.320481;(812) 635-68-70, 388-18-55;пн-пт: 8.30 - 11.00, каждая третья суббота месяца: с 9.00 до 12.00
"ГУЗ Ленинградская областная станция переливания крови (ГУЗ ""ЛОСПК"")";Ленинградская область;Тосненский район;Тосно;Тосненский район, г. Тосно, ул. Барыбина, 29а;59.541506;30.879421;"(81361) 3-24-33; 2-27-54";пн-пт 8.00 - 16.30
"Филиал №1 ГУЗ ""ЛОСПК""";Ленинградская область;Всеволожский район;Всеволжск;Всеволжский район, г. Всеволожск, Колтушское шоссе, д. 20;60.030095;30.639782;(81370) 2-34-31;третий вт каждого месяца 10.00-12.00
"Филиал №2 ГУЗ ""ЛОСПК""";Ленинградская область;Выборгский район;Выборг;Выборгский район, г. Выборг, ул. Октябрьская, д. 2;60.706397;28.770933;(81378) 2-51-45;пн,ср 8:30-10:00
"ГУЗ ""Липецкая областная станция переливания крови""";Липецкая область;Липецк;Липецк;г. Липецк, ул. Космонавтов, 11а;52.674111;39.731010;(4742) 34-63-84, 34-80-80;пн-сб 8.00 - 16.00
"МУ ""ЦРБ Усманского района""";Липецкая область;Усманский;Усмань;г. Усмань, ул. Карла Маркса, 118;52.052292;39.732288;(47472) 2-27-45, 2-11-35;пн-пт 8.00 - 16.00
"МУЗ ""Елецкая городская станция переливания крови""";Липецкая область;Елецкий;Елец;г. Елец, ул. Костенко, 9;52.622028;38.505261;"(47467) 2-46-82; 2-03-78";пн-пт 8.00 - 16.00
Центр крови ФМБА России;Москва;Москва;Москва;ул. Щукинская, 6, корп. 2;55.81004;37.479554;(499) 190-75-55, донорский отдел: 193-17-73, экспедиция: 193-75-81 (круглосуточно), 942-47-67;пн-пт 8.30 - 12.00
ГНЦ РАМН;Москва;Москва;Москва;Новый Зыковский пр-д, 4а;55.800266;37.552792;(495) 612-35-33;пн-пт 9.00 - 12.30
Городская клиническая больница № 1;Москва;Москва;Москва;Ленинский пр-т, 10;55.722543;37.593535;(495) 958-61-00;вт-пт 8.00
"ГУЗ НИИ скорой помощи им. Н.В.Склифосовского""";Москва;Москва;Москва;Б. Сухаревская пл., 3, стр 12;55.7732;37.634074;(495) 625-80-07;пн-пт 8.30 - 11.30
Станция переливания крови Департамента здравоохранения города Москвы, филиал;Москва;Москва;Москва;ул. Бакинская, 31;55.617075;37.660198;"(495) 326-99-29; 327-27-47";пн-пт 8.30 - 12.30
Станция переливания крови Департамента здравоохранения города Москвы, филиал;Москва;Москва;Москва;ул. Поликарпова, 14;55.777939;37.550588;(495) 945-71-49, 945-75-45;пн-пт 8.30 - 13.30
ФГУ ЦСПК Росздрава;Москва;Москва;Москва;1-й Басманный пер., 8;55.771297;37.663911;(495) 607-25-57;пн-пт 8.30 - 13.30
"ГУЗ ""ГКБ № 20""";Москва;Москва;Москва;ул. Ленская, 15;55.864807;37.664023;(495) 471-10-44;пн-пт 9.00 - 11.00
"ГУЗ ""ГКБ №40""";Москва;Москва;Москва;ул. Касаткина, 7;55.825089;37.657312;(495) 686-80-50, 686-31-28;пн-пт 9.00 - 11.00
"ГУЗ ""ГКБ № 70""";Москва;Москва;Москва;Федеративный пр-т, 17;55.756277;37.814446;(495) 304-42-16, 303-97-69;пн-чт 8.00 - 11.30
"МУЗ ""Моздокская РБ""";Республика Северная Осетия (Алания);Моздокский;Моздок;г. Моздок, ул. Мира, 2;43.741890;44.662750;(86736) 3-17-32,  3-15-51, 3-50-55;пн-пт 9.00-14.00
Российская детская клиническая больница;Москва;Москва;Москва;Ленинский пр-т., 117, корп. 3, 2 этаж;55.65013;37.491711;(495)434-76-35,936-93-05, 936-94-05;пн-пт 9.00 - 11.00
"ГУЗ ""Магаданская областная станция переливания крови""";Магаданская область;Магадан;Магадан;г. Магадан, ул. Потапова, 2;59.556320;150.813080;(4132) 62-82-09;пн-пт 8.30 - 12.00
"ГУЗ ""Магаданский областной противотуберкулезный диспансер №2""";Магаданская область;Ягодинский;пос. Дебин;Ягодинский р-н, п. Дебин, ул. Советская, 11;62.343281;150.747757;(41343) 2-32-89, 4-44-49;вт 8.30-12.00
"МУЗ ""Омсукчанская ЦРБ""";Магаданская область;Омсукчанский;пос. Омсукчан;п. Омсукчан, ул. Театральная, 7;62.516602;155.765442;(41346) 9-15-23, 9-19-51;чт 1 раз в мес. 8.30-12.00
"МУЗ ""Сусуманская ЦРБ""";Магаданская область;Сусуманский;Сусуман;г. Сусуман, ул. Больничная, 65;62.777310;148.148041;(41345) 2-27-89, 2-11-65;вт 8.30 - 12.00
"МУЗ ""Люберецкая СПК""";Московская область;Люберецкий район;Люберцы;г. Люберцы, Октябрьский пр-т, 64;55.687169;37.873431;(496) 559-63-22;пн-чт 8.00 - 12.00
"ГУЗ ""Мурманская областная станция переливания крови""";Мурманская область;Мурманск;Мурманск;г. Мурманск, ул. Павлова, 6 корп. 10;68.951857;33.103781;(8152) 25-02-61, 25-04-02;пн-пт 8.00 - 13.00
"МУЗ ""Мончегорская ЦГБ""";Мурманская область;Мончегорский;Мончегорск;г. Мончегорск, пр-т. Кирова, 6;67.922996;32.952728;"(81536) 7-34-87; 3-07-00";пн-пт 8.00 - 13.00
"МУЗ ""Печенегская ЦРБ""";Мурманская область;Никельский;Никель;п. Никель, Больничный городок, 1;69.402008;30.231079;(81554) 5-03-92;пн-пт 8.00 - 13.00
"ГУЗ ""Нижегородская областная станция переливания крови Н.Я.Климовой""";Нижегородская область;Нижний Новгород;;г. Нижний Новгород, ул. Родионова, 194, инд. 603950;56.303349;44.081214;(8314)32-88-80;пн-пт 8.00 - 16.00
"Филиал ""Ардатовское отделение переливания крови""";Нижегородская область;Ардатовский;пос. Ардатов;р. п. Ардатов, ул. Спортивная, 1;55.235729;43.096130;(83179) 5-23-00;пн, чт 8.00 - 10.00
"Филиал ""Арзамасская станция переливания крови""";Нижегородская область;Арзамасский;Арзамас;г. Арзамас, ул. Зеленая, 2;55.411714;43.808928;(83147) 6-06-43;пн, вт, чт 8.00 - 10.00
"Филиал ""Балахнинское отделение переливания крови""";Нижегородская область;Балахинский;Балахна;г. Балахна, ул. Энгельса, 94,96;56.480728;43.540390;(83144) 7-49-05;вт, чт 7.30 - 9.30
"Филиал ""Богородское отделение переливания крови""";Нижегородская область;Богородский;Богородск;г. Богородск, ул. М. Горького, 2а;56.099628;43.507340;(83170) 2-20-35;вт 7.00 - 10.00
"Филиал ""Велтужное отделение переливания крови""";Нижегородская область;Ветлужский;Ветлуга;г. Ветлуга, ул. Ленина, 50;57.852878;45.787708;(83150) 2-17-30;вт 9.00 - 10.00
"Филиал ""Воротынское отделение переливания крови""";Нижегородская область;Воротынский;р. п. Воротынец;р. п. Воротынец, ул. Космонавтов, 9, корп. 1;56.054741;45.858471;(83164) 2-12-45;вт 8.30 - 11.00
"Филиал ""Выксунское отделение переливания крови""";Нижегородская область;Выкский;Выкса;г. Выкса, ул. Красных зорь, Больничный городок,;55.319511;42.173000;(83177) 3-05-41;вт, чт 8.00 - в зависимости от количества доноров
"Филиал ""Дальнеконстантиновское отделение переливания крови""";Нижегородская область;Дальнее Константиново;р. п. Дальнее Константиново;р. п. Дальнее Константиново, ул. Пионерская, 1а;55.810341;44.111820;(83168) 2-14-75;ср 9.00 - 12.00
"Филиал ""Дзержинская станция переливания крови""";Нижегородская область;Дзержинский;Дзержинск;г. Дзержинск, ул. Бутлерова, 2г;56.240250;43.456764;(8313) 22-78-83;пн-пт 7.00 - 10.30
"Филиал ""Краснобаковское отделение переливания крови""";Нижегородская область;КрасноБакский;Красные Баки;р. п. Красные Баки, ул. Чапаева, 25;57.129722;45.156111;(83156) 2-23-60;вт 8.00 - 15.30
"Филиал ""Кулебакское отделение переливания крови""";Нижегородская область;Кулебакский;Кулебаки;г. Кулебаки, ул. Степана Разина, 112;55.415500;42.529251;(83176) 5-18-06;вт, чт 8.00
"Филиал ""Лукояновское отделение переливания крови""";Нижегородская область;Лукояновский;Лукоянов;г. Лукоянов, ул. Куйбышева, 14;55.038262;44.497891;(83196) 4-17-99;вт 9.30 - в зависимости от количества доноров
"Филиал ""Лысковское отделение переливания крови""";Нижегородская область;Лысковский;Лысково;г. Лысково, ул. Чехова, 41;56.012699;45.025341;(83149) 2-35-18;вт 8.30 - 11.00
"Филиал ""Навашинское отделение переливания крови""";Нижегородская область;Навашинский;Навашино;г. Навашино, ул. Терёшкина, 6;55.551750;42.191849;(83175) 5-36-36;вт, чт 8.00 - в зависимости от количества доноров
"Филиал ""Павловское отделение переливания крови""";Нижегородская область;Павловский;Павлово;г. Павлово, ул. Советская, 24;55.961948;43.089901;(83171) 5-18-67;вт 8.30 - в зависимости от количества доноров
"Филиал ""Починовское отделение переливания крови""";Нижегородская область;Починский;с. Починки;с. Починки, ул. Луначарского, 45;54.705280;44.864681;(83197) 2-21-91;пн, ср 9.30 - в зависимости от количества доноров
"Филиал ""Семеновское отделение переливания крови""";Нижегородская область;Семеновский;Семенов;г. Семенов, ул. 3-й Интернационал, 20;56.792542;44.501011;(83162) 5-38-41;нет приема доноров
"Филиал ""Сергачская станция переливания крови""";Нижегородская область;Сергачевский;Сергач;г. Сергач, ул. Пушкина, 2а;55.527538;45.463200;(83191) 5-25-58;по записи
"Филиал ""Сосновское отделение переливания крови""";Нижегородская область;Сосновский;пос. Сосновское;р. п. Сосновское, ул. Профсоюзная, 24;55.801041;43.162869;(83174) 2-58-29;ср 9.00 - 10.00
"Филиал ""Уренское отделение переливания крови""";Нижегородская область;Уреньский;Урень;г. Урень, ул. Ленина, 59;57.460781;45.784988;(83154) 2-23-60;информация по тел. (83154) 2-23-60
"Филиал ""Шахунское отделение переливания крови""";Нижегородская область;Шахуньский;Шахунья;г. Шахунья, ул. Революционная, 32;57.668190;46.600861;(83152) 2-69-42;чт 8.00 - 10.00
"ММУ ""Боровичская станция переливания крови""";Новгородская область;Боровичский;Боровичи;г. Боровичи, ул. Подбельского, 23;58.395149;33.901009;(81664) 4-31-79;чт 8.00 - 11.00
"ММУ ""Валдайская ЦРБ""";Новгородская область;Валдайский;Валдай;г. Валдай, ул. Песчаная, 1а;57.979710;33.253460;(81666) 2-25-70;пн,чт 9.00 - 10.00
"ММУ ""Пестовская ЦРБ""";Новгородская область;Пестовская;Пестово;г. Пестово, ул. Курганная, 18;58.600239;35.812549;(81669) 5-23-42;ср 8.00 - 12.00
"ММУ ""Старорусская ЦРБ""";Новгородская область;Старая Русса;Старая Русса;г. Старая Русса, ул. Ф.Энгельса, 50;57.999630;31.336069;(81652) 3-26-50 , 5-17-95;вт,чт 8.00 - 10.30
ГБУЗ Куйбышевский филиал;Новосибирская область;Куйбышевский район;Куйбышев;г. Куйбышев, ул. Володарского, 61;55.454029;78.304626;(38362) 6-66-70, 6-22-04;пн-пт  8:00 - 12:30
"ГБУЗ ""Новосибирский центр крови""";Новосибирская область;Новосибирский городской округ;Новосибирск;г. Новосибирск, ул. Серафимовича, 2/1;54.984632;82.879309;(383) 354-58-83, 353-79-19;пн-пт 8.00 - 12.30
Сузунская ЦРБ;Новосибирская область;Сузунский район;р.п. Сузун;р.п. Сузун, ул. Партизанская, 214;53.785210;82.323891;(38346) 2-24-73;вт, чт 8.30 - 12.30
Баганская ЦРБ;Новосибирская область;Баганский район;с.Баган;с. Баган, ул. Инкубаторская, 3;54.099220;77.662628;(38353) 2-13-32, 2-16-97;вт,чт 8.30 - 12.30
Чистозерская ЦРБ;Новосибирская область;Чистоозёрный район;р.п. Чистоозерное;р.п. Чистоозерное, ул. Зонова, 6;54.717159;76.581490;(38368) 9-16-89;вт,чт 8.30-12.30
"ГУЗ ""Центр крови""";Омская область;Омск;Омск;г. Омск, ул. Магистральная, 33;55.035991;73.275719;(3812) 67-05-21;пн-пт  8.00-11.30
Калачинский филиал;Омская область;Калачинский район;Калачинск;г. Калачинск, ул. Больничная, 14;55.052189;74.584953;(38155) 2-38-30;ср,чт,пт 8.30-11.00
"ГУЗ ""Областная детская КБ""";Омская область;Омск;Омск;г. Омск, ул. Куйбышева, 77;54.978870;73.399841;(3812) 36-22-20;ремонт
"МУЗ ""Большереченская ЦРБ""";Омская область;Большереченский район;пос. Большеречье;р.п. Большеречье, ул. Пролетарская, 83;56.081711;74.632553;(38169) 2-10-03;вт 9.00-12.00
"МУЗ ""Омская ГКБ СМП №1""";Омская область;Омск;Омск;г. Омск, ул. Перелета, 9;54.998469;73.296264;(3812) 74-24-29;пн-пт 8.30 - 11.30
"МУЗ ""Крутинская ЦРБ""";Омская область;Крутинский район;р.п. Крутинка;р.п. Крутинка, пер. Больничный, 21;55.999680;71.518333;(38167) 2-11-98;вт,чт 8.30 - 11.30
"МУЗ ""ГКБ №1 им. А.Н.Кабанова""";Омская область;Омск;Омск;г. Омск, ул. Перелета, 7;54.996204;73.293357;(3812) 74-42-17;пн-пт 9.00 - 11.00
Шербакульский филиал;Омская область;Шербакульский район;р.п. Шербакуль;р.п. Щербакуль, ул. Ленина, 111;54.635071;72.388382;(38177) 2-33-66;вт,чт  8.00 - 12.00
"ГУЗ ""ОКБ""";Омская область;Омск;Омск;Омск г., Березовая ул., д. 3;55.021405;73.340778;(3812) 23-26-74, 25-66-68;пн-пт 9.00-13.00
"МУЗ ""Исилькульская ЦРБ""";Омская область;Исилькульский район;Исилькуль;г. Исилькуль, ул. Тельмана, 187;54.905880;71.262177;(38173) 2-12-47;вт 8.30 - 12.00
"МУЗ ""Муромцевская ЦРБ""";Омская область;Муромцевский район;р.п. Муромцево;р.п. Муромцево, ул. Ленина, 144;56.367371;75.240051;(38158) 2-19-48;пн, вт 9.00-11.00
Филиал Омский-1;Омская область;Омск;Омск;г. Омск, ул. Воровского, 62/1;54.915229;73.356142;(3812) 46-96-24;ср 9.00 - 13.00
ГУЗ Орского района;Оренбургская область;Орский;Орск;г. Орск, ул. Ленинского комсомола, 24а;51.218380;58.620380;(3537) 25-04-08;пн-пт 8.00 - 14.00
"ГУЗ ""Краевая КБ №2""";Приморский край;Владивосток;Владивосток;г. Владивосток, ул. Русская, 55;43.175214;131.926174;(4232) 32-64-07, 32-70-09;пн,ср,чт 9.00 - 12.00
Советское ОПК;Кировская область;Советский;Советск;г. Советск, ул. Октябрьская, 70;57.584518;48.941620;(83375) 2-62-31;пн-пт 8.00-16.00, забор крови по предварительной записи
Нолинское ОПК;Кировская область;Нолинский;Нолинск;г. Нолинск, ул. Федосеева, 2 Б;57.560879;49.934090;(83368) 2-05-00;пн-пт 8.00-16.00, забор крови по предварительной записи
"ГУЗ ""Краевая станция переливания крови""";Приморский край;Владивосток;Владивосток;г. Владивосток, ул. Октябрьская, 6;43.126872;131.884289;(4232) 45-93-14, 45-93-77, 45-93-80, 45-08-67;пн-чт  8.30 - 17.15, пт 8.30-16.00
"МУЗ ""Среднеканская ЦРБ""";Магаданская область;Среднеканский р-он;пос. Сеймчан;Среднеканский р-он, п. Сеймчан, ул. Южная, 13;62.930809;152.384872;(41347) 9-48-47, 9-46-62;чт 1 раз в мес. 8.30-12.00
"ГУЗ ""Областная детская КБ №1""";Свердловская область;Екатеринбург;Екатеринбург;г. Екатеринбург, ул. С.Дерябиной, 32;56.809493;60.536750;(343) 240-57-80, 240-58-01;пн-пт 8.00 - 14.00
"ГУЗ ""Свердловская областная станция переливания крови""";Свердловская область;Первоуральск городской округ;Первоуральск;г. Первоуральск, ул. Медиков, 10;56.923050;59.942200;"(3439) 66-79-64; 66-74-43";пн-пт 7.30 - 14.00
"ГУЗ ""Станция переливания крови №3""";Свердловская область;Горнозаводской управленческий округ;Нижний Тагил;г. Нижний Тагил, ул Циолковского, 24/49;57.933333;60.000000;(3435) 42-25-70, 41-98-04;пн-пт 8.00-16.30
"ГУЗ ""Станция переливания крови №5""";Свердловская область;Краснотурьинск городской округ;Краснотурьинск;г. Краснотурьинск, ул. Фурманова, 3;59.763851;60.205490;(34384) 3-32-93;пн-пт 8:00 - 13:00
"ГУЗ ""Тамбовская областная станция переливания крови""";Тамбовская область;Тамбовский;Тамбов;г. Тамбов, ул. Б. Васильева, д. 3;52.721100;41.417351;(0752) 47-33-15;пн-пт 8.00-16.00
"ГУЗ ""Тульская областная СПК №1""";Тульская область;Тула;Тула;г. Тула, ул. Ф. Энгельса, 56;54.180779;37.598971;(4872) 31-22-63;пн-пт 8.00-14.00
"ГЛПУ ""Областная станция переливания крови""";Тюменская область;Тюменский;Тюмень;г. Тюмень, ул. Энергетиков, 35;57.142212;65.582757;(3452) 28-77-50, 28-77-65;пн-пт 8.00-13.00
"ГУЗ ""Адыгейская республиканская станция переливания крови""";Республика Адыгея;Майкопский;Майкоп;г. Майкоп, ул. 12 марта, 163;44.609139;40.113209;(8772) 57-30-89;пн-пт 8.00-12.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Карелия;Петрозаводск;Петрозаводск;г. Петрозаводск, Пирогова, 4а;61.782200;34.362080;(8142) 76-42-60;пн-пт 8.30-13.00
"МУЗ ""ПИй-Хемская ЦКб""";Республика Тыва;Пий-Хемский кожуун;Туран;г. Туран, ул. Горная, 14;52.145489;93.916122;(39435) 2-18-49;пн-пт 8.00-17.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Марий Эл;Йошкар-Ола;Йошкар-Ола;г. Йошкар-Ола, ул. Пролетарская, д. 66;56.637501;47.891499;(8362) 45-44-00;пн-пт 8.00-12.00
"МУЗ ""Черногорская ГБ №2""";Республика Хакасия;Черногорск городской округ;Черногорск;Черногорск, ул. Чайковского, 9;53.826840;91.301827;(39031) 2-28-69;пн-чт 7.30 - 12.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Башкортостан;Уфимский;Уфа;г. Уфа, ул. Батырская, 41/1;54.709257;56.008612;(3472) 55-52-75, 55-53-12;пн-пт 8.30 - 13.00
"ГУЗ ""Бурятская республиканская станция переливания крови""";Республика Бурятия;Улан-Удэ;Улан-Удэ;г. Улан-Удэ, ул. Пирогова, 7а;51.840839;107.608093;(3012) 23-23-47, 43-75-61, 43-70-17;пн-пт 8.00 - 16.30
Гусиноозерский филиал;Республика Бурятия;Гусиноозерский;Гусиноозерск;г. Гусиноозерск, ул. Железнодорожная, 1;51.284081;106.526383;(30145) 4-47-76;пн-чт 8.00 - 16.30
Нижнеангарский филиал;Республика Бурятия;Северобайкальский район;п. Нижнеангарск;Северобайкальский р-н, п. Нижнеангарск, ул. 50 лет Октября, 4;55.789711;109.590599;(30130) 4-77-83;пн-ср 8.00 - 16.30
"ГУЗ ""Самарская областная станция переливания крови""";Самарская область;Самара;Самара;г. Самара, ул. Ново-Садовая, 156;53.223096;50.166793;(846) 334-82-43, 334-65-14, 334-65-23;пн-пт 8.00 - 13.00
"ГУЗ ""Саратовская областная станция переливания крови""";Саратовская область;Саратов городской округ;Саратов;г. Саратов, ул. Гвардейская, 27;51.588774;45.923043;(8452) 35-20-51, 63-76-03;пн-пт 8.30-12.00
"ГУЗ ""Станция переливания крови №2"" ""Сангвис""";Свердловская область;Екатеринбург;Екатеринбург;г. Екатеринбург, ул. Пальмиро Тольятти, 8;56.823124;60.584563;(343) 233-46-61, 223-65-10, 212-93-08;пн-пт 8.00 - 13.00
"ГУЗ ""Свердловская ОКБ №1""";Свердловская область;Екатеринбург;Екатеринбург;г. Екатеринбург, ул. Волгоградская, 185;56.809593;60.563308;(343) 240-35-35, 240-47-56;пн-пт 8.30-12.30
"ГУЗ ""Вологодская областная станция переливания крови № 1""";Вологодская область;Вологодский;Вологда;г. Вологда, ул. Ветошкина, 55;59.208568;39.895992;+7 (817) 275 01 67, 275-11-31;пн-пт 8.00-12.00
"ГУ ""Республиканская станция переливания крови""";Республика Коми;Сыктывкар;Сыктывкар;г. Сыктывкар, Октябрьский пр., д. 59а;61.665766;50.814686;(8212) 24-27-94, 43-11-18;пн-пт 7.00-13.00
"ГУЗ ""Краевая КБ №2""";Хабаровский край;Хабаровский;Хабаровск;г. Хабаровск, ул. Павловича, 1-б;48.470730;135.091238;"(4212) 23-79-67; 23-39-58, 23-80-48";пн-пт 8.30-13.30
"ГУЗ ""Верхнебуреинский центр организации специализированных видов медицинской помощи""";Хабаровский край;Верхнебуреинский;п. Чегдомын;Верхнебуреинский р-он, п. Чегдомын, ул. Софийская, 2;51.116901;132.977478;(42149) 5-16-33;пн-пт 9.00-13.30
"ГУ ""Республиканская станция переливания крови""";Республика Чечня;Грозненский;Грозный;г. Грозный, ул. Киевская, 47;43.310581;45.672419;(8712) 33-21-38;пн-пт 8.00 - 17.00
"ГУЗ ""Чукотская окружная больница""";Чукотский АО;Анадырь;Анадырь;г. Анадырь, ул. Ленина, 1;64.736392;177.477894;(42722) 2-32-27, 2-20-42;пн,чт 9.00 - 11.00, вт,ср 9.00-14.00
"МУЗ ""Новочебоксарская ГБ""";Чувашская Республика;Новочебоксары;Новочебоксары;г. Новочебоксарск, ул. Пионерская, 20;56.113079;47.4856;(83527) 7-28-20;вт, чт 8.00-11.00
"ГУЗ ""Рыбинская станция переливания крови""";Ярославская область;Рыбинский;Рыбинск;г. Рыбинск, ул. Солнечная, 59;58.050871;38.833523;(4855) 55-89-58;пн-пт 8.00 - 13.00
"ГУЗ ""ОКБ""";Ярославская область;Ярославль;Ярославль;г. Ярославль, ул. Яковлевская, 7;57.657947;39.967518;"(4852) 24-47-79; 24-16-52";пн-чт 9.00 - 13.00, пт 9.00-11.00
Отделение забора крови №1;Ярославская область;Ярославль;Ярославль;г. Ярославль, ул. Гагарина, 12;57.591086;39.842491;(4852) 44-28-43;вт,чт 8.00-12.00
